station,amp,phi,date,timestamp
DHO,1.1450459,-26.16253662109375,06 03 2011 08:01:06.000,65000
ICV,6.4922137,-276.10810708999634,06 03 2011 08:01:06.000,65000
DHO,1.1611899,-355.0641326904297,06 03 2011 08:01:07.000,66000
ICV,6.5851593,-277.2233953475952,06 03 2011 08:01:07.000,66000
DHO,1.1726874,-47.30262756347656,06 03 2011 08:01:08.000,67000
ICV,6.3606734,-275.0080795288086,06 03 2011 08:01:08.000,67000
DHO,1.1579677,-31.52337646484375,06 03 2011 08:01:09.000,68000
ICV,6.3833504,-279.31290912628174,06 03 2011 08:01:09.000,68000
DHO,1.1832727,-0.18402862548828125,06 03 2011 08:01:10.000,69000
ICV,6.574868,-271.0150899887085,06 03 2011 08:01:10.000,69000
DHO,1.1617225,-357.4745383262634,06 03 2011 08:01:11.000,70000
ICV,6.3400974,-274.7207818031311,06 03 2011 08:01:11.000,70000
DHO,1.1475472,-0.07967783510684967,06 03 2011 08:01:12.000,71000
ICV,6.3944306,-279.75340461730957,06 03 2011 08:01:12.000,71000
DHO,1.1234784,-2.5236358642578125,06 03 2011 08:01:13.000,72000
ICV,6.3943634,-261.8264579772949,06 03 2011 08:01:13.000,72000
DHO,1.1904699,-318.8750457763672,06 03 2011 08:01:14.000,73000
ICV,6.2823977,-275.4235439300537,06 03 2011 08:01:14.000,73000
DHO,1.1432432,-350.3228302001953,06 03 2011 08:01:15.000,74000
ICV,6.445988,-273.02142572402954,06 03 2011 08:01:15.000,74000
DHO,1.1290735,-345.6962127685547,06 03 2011 08:01:16.000,75000
ICV,6.5042014,-273.24132347106934,06 03 2011 08:01:16.000,75000
DHO,1.1648613,-348.2520751953125,06 03 2011 08:01:17.000,76000
ICV,6.616155,-281.6268787384033,06 03 2011 08:01:17.000,76000
DHO,1.1517042,-313.91973876953125,06 03 2011 08:01:18.000,77000
ICV,6.465607,-298.1618175506592,06 03 2011 08:01:18.000,77000
DHO,1.1533669,-8.142227172851562,06 03 2011 08:01:19.000,78000
ICV,6.5968223,-280.1266164779663,06 03 2011 08:01:19.000,78000
DHO,1.1322119,-339.6230354309082,06 03 2011 08:01:20.000,79000
ICV,6.435872,-269.1491765975952,06 03 2011 08:01:20.000,79000
DHO,1.1449095,-328.88115310668945,06 03 2011 08:01:21.000,80000
ICV,6.2337046,-263.99728441238403,06 03 2011 08:01:21.000,80000
DHO,1.1704645,-357.37176513671875,06 03 2011 08:01:22.000,81000
ICV,6.4501686,-283.3644332885742,06 03 2011 08:01:22.000,81000
DHO,1.173745,-34.516536712646484,06 03 2011 08:01:23.000,82000
ICV,6.470772,-278.5457077026367,06 03 2011 08:01:23.000,82000
DHO,1.1660007,-352.9474563598633,06 03 2011 08:01:24.000,83000
ICV,6.54912,-277.8334732055664,06 03 2011 08:01:24.000,83000
DHO,1.1471955,-19.806053161621094,06 03 2011 08:01:25.000,84000
ICV,6.5147142,-273.5480194091797,06 03 2011 08:01:25.000,84000
DHO,1.1961112,-16.87359619140625,06 03 2011 08:01:26.000,85000
ICV,6.319376,-282.6275177001953,06 03 2011 08:01:26.000,85000
DHO,1.1714029,-348.65452575683594,06 03 2011 08:01:27.000,86000
ICV,6.414112,-281.0637741088867,06 03 2011 08:01:27.000,86000
DHO,1.1109347,-46.229034423828125,06 03 2011 08:01:28.000,87000
ICV,6.418795,-316.13690185546875,06 03 2011 08:01:28.000,87000
DHO,1.136917,-13.081611633300781,06 03 2011 08:01:29.000,88000
ICV,6.474356,-246.7661190032959,06 03 2011 08:01:29.000,88000
DHO,1.1751093,-36.65099334716797,06 03 2011 08:01:30.000,89000
ICV,6.344331,-272.73321199417114,06 03 2011 08:01:30.000,89000
DHO,1.1002414,-341.3235168457031,06 03 2011 08:01:31.000,90000
ICV,6.5317774,-276.47740268707275,06 03 2011 08:01:31.000,90000
DHO,1.0999889,-21.26619529724121,06 03 2011 08:01:32.000,91000
ICV,6.415966,-259.46288108825684,06 03 2011 08:01:32.000,91000
DHO,1.146736,-2.6254425048828125,06 03 2011 08:01:33.000,92000
ICV,6.414745,-266.91593170166016,06 03 2011 08:01:33.000,92000
DHO,1.2026173,-4.056332588195801,06 03 2011 08:01:34.000,93000
ICV,6.481566,-272.7093200683594,06 03 2011 08:01:34.000,93000
DHO,1.1318705,-341.76063346862793,06 03 2011 08:01:35.000,94000
ICV,6.504647,-280.9389877319336,06 03 2011 08:01:35.000,94000
DHO,1.0847349,-329.1399517059326,06 03 2011 08:01:36.000,95000
ICV,6.3807206,-268.2034912109375,06 03 2011 08:01:36.000,95000
DHO,1.1509645,-13.084218978881836,06 03 2011 08:01:37.000,96000
ICV,6.4942484,-280.42833709716797,06 03 2011 08:01:37.000,96000
DHO,1.1161519,-40.34375762939453,06 03 2011 08:01:38.000,97000
ICV,6.4278216,-283.2925033569336,06 03 2011 08:01:38.000,97000
DHO,1.0821009,-65.19256591796875,06 03 2011 08:01:39.000,98000
ICV,6.247973,-230.3284454345703,06 03 2011 08:01:39.000,98000
DHO,1.1350518,-25.49504852294922,06 03 2011 08:01:40.000,99000
ICV,6.410129,-282.8899154663086,06 03 2011 08:01:40.000,99000
DHO,1.1559587,-40.34135055541992,06 03 2011 08:01:41.000,100000
ICV,6.391725,-275.96324157714844,06 03 2011 08:01:41.000,100000
DHO,1.1357915,-10.035284042358398,06 03 2011 08:01:42.000,101000
ICV,6.4205174,-270.0158233642578,06 03 2011 08:01:42.000,101000
DHO,1.1419866,-90.59391784667969,06 03 2011 08:01:43.000,102000
ICV,6.5709867,-266.442626953125,06 03 2011 08:01:43.000,102000
DHO,1.1705438,-68.25891876220703,06 03 2011 08:01:44.000,103000
ICV,6.2404222,-261.31874084472656,06 03 2011 08:01:44.000,103000
DHO,1.1653804,-55.30848693847656,06 03 2011 08:01:45.000,104000
ICV,6.299724,-268.1384048461914,06 03 2011 08:01:45.000,104000
DHO,1.1725842,-75.1360330581665,06 03 2011 08:01:46.000,105000
ICV,6.4106426,-272.4160690307617,06 03 2011 08:01:46.000,105000
DHO,1.1809549,-51.61076354980469,06 03 2011 08:01:47.000,106000
ICV,6.194329,-265.1910629272461,06 03 2011 08:01:47.000,106000
DHO,1.1571113,-56.274322509765625,06 03 2011 08:01:48.000,107000
ICV,6.4418354,-273.7915344238281,06 03 2011 08:01:48.000,107000
DHO,1.1920619,-76.650146484375,06 03 2011 08:01:49.000,108000
ICV,6.514225,-278.9919204711914,06 03 2011 08:01:49.000,108000
DHO,1.191284,-112.98382568359375,06 03 2011 08:01:50.000,109000
ICV,6.520867,-277.71484375,06 03 2011 08:01:50.000,109000
DHO,1.2037477,-76.3293685913086,06 03 2011 08:01:51.000,110000
ICV,6.348311,-275.90100860595703,06 03 2011 08:01:51.000,110000
DHO,1.1568785,-72.61241912841797,06 03 2011 08:01:52.000,111000
ICV,6.3147793,-259.7989501953125,06 03 2011 08:01:52.000,111000
DHO,1.1953365,-59.706642150878906,06 03 2011 08:01:53.000,112000
ICV,6.413402,-280.35118865966797,06 03 2011 08:01:53.000,112000
DHO,1.1255059,-102.50640106201172,06 03 2011 08:01:54.000,113000
ICV,6.430334,-266.3302917480469,06 03 2011 08:01:54.000,113000
DHO,1.1845268,-58.158668518066406,06 03 2011 08:01:55.000,114000
ICV,6.2771873,-277.22808837890625,06 03 2011 08:01:55.000,114000
DHO,1.1640359,-81.75715637207031,06 03 2011 08:01:56.000,115000
ICV,6.30973,-276.2711715698242,06 03 2011 08:01:56.000,115000
DHO,1.1480918,-76.524658203125,06 03 2011 08:01:57.000,116000
ICV,6.3969564,-271.1755142211914,06 03 2011 08:01:57.000,116000
DHO,1.1484728,-61.632829666137695,06 03 2011 08:01:58.000,117000
ICV,6.290263,-272.6525573730469,06 03 2011 08:01:58.000,117000
DHO,1.1313181,-100.64779758453369,06 03 2011 08:01:59.000,118000
ICV,6.389228,-274.01908111572266,06 03 2011 08:01:59.000,118000
DHO,1.1468829,-60.60109519958496,06 03 2011 08:02:00.000,119000
ICV,6.4126906,-269.1757049560547,06 03 2011 08:02:00.000,119000
DHO,1.1167473,-84.20200872421265,06 03 2011 08:02:01.000,120000
ICV,6.415038,-265.5755157470703,06 03 2011 08:02:01.000,120000
DHO,1.1759051,-91.00607454776764,06 03 2011 08:02:02.000,121000
ICV,6.2019215,-267.3137435913086,06 03 2011 08:02:02.000,121000
DHO,1.1649871,-59.54049301147461,06 03 2011 08:02:03.000,122000
ICV,6.4610944,-277.39444732666016,06 03 2011 08:02:03.000,122000
DHO,1.1349559,-32.79584503173828,06 03 2011 08:02:04.000,123000
ICV,6.3581038,-277.1386489868164,06 03 2011 08:02:04.000,123000
DHO,1.169948,-51.815677642822266,06 03 2011 08:02:05.000,124000
ICV,6.2572393,-274.9785385131836,06 03 2011 08:02:05.000,124000
DHO,1.1555996,-65.02544403076172,06 03 2011 08:02:06.000,125000
ICV,6.201681,-273.13744354248047,06 03 2011 08:02:06.000,125000
DHO,1.1410365,-59.81338882446289,06 03 2011 08:02:07.000,126000
ICV,6.3572035,-270.5782012939453,06 03 2011 08:02:07.000,126000
DHO,1.135463,-53.85626983642578,06 03 2011 08:02:08.000,127000
ICV,6.3743973,-280.076904296875,06 03 2011 08:02:08.000,127000
DHO,1.141161,-76.69601440429688,06 03 2011 08:02:09.000,128000
ICV,6.3146257,-280.82496643066406,06 03 2011 08:02:09.000,128000
DHO,1.1562568,-105.87099838256836,06 03 2011 08:02:10.000,129000
ICV,6.4550185,-279.7704391479492,06 03 2011 08:02:10.000,129000
DHO,1.1287366,-69.68592262268066,06 03 2011 08:02:11.000,130000
ICV,6.2617164,-278.48240661621094,06 03 2011 08:02:11.000,130000
DHO,1.1744505,-57.55912399291992,06 03 2011 08:02:12.000,131000
ICV,6.6279483,-270.4180450439453,06 03 2011 08:02:12.000,131000
DHO,1.1583496,-59.68647766113281,06 03 2011 08:02:13.000,132000
ICV,6.2138195,-283.3368835449219,06 03 2011 08:02:13.000,132000
DHO,1.1030662,-73.59844017028809,06 03 2011 08:02:14.000,133000
ICV,6.4783316,-272.8990783691406,06 03 2011 08:02:14.000,133000
DHO,1.1166105,-100.50199127197266,06 03 2011 08:02:15.000,134000
ICV,6.318303,-283.7069091796875,06 03 2011 08:02:15.000,134000
DHO,1.1740954,-107.20865631103516,06 03 2011 08:02:16.000,135000
ICV,6.3586173,-282.4052429199219,06 03 2011 08:02:16.000,135000
DHO,1.1408957,-52.98735046386719,06 03 2011 08:02:17.000,136000
ICV,6.4902487,-282.17066955566406,06 03 2011 08:02:17.000,136000
DHO,1.1524584,-78.57933044433594,06 03 2011 08:02:18.000,137000
ICV,6.333689,-275.6287078857422,06 03 2011 08:02:18.000,137000
DHO,1.1328458,-62.89799499511719,06 03 2011 08:02:19.000,138000
ICV,6.3055663,-273.8811798095703,06 03 2011 08:02:19.000,138000
DHO,1.1597049,-92.11972045898438,06 03 2011 08:02:20.000,139000
ICV,6.4048686,-273.046142578125,06 03 2011 08:02:20.000,139000
DHO,1.1476009,-76.34146118164062,06 03 2011 08:02:21.000,140000
ICV,6.2857466,-276.3781433105469,06 03 2011 08:02:21.000,140000
DHO,1.1552857,-107.63102722167969,06 03 2011 08:02:22.000,141000
ICV,6.290141,-273.5278625488281,06 03 2011 08:02:22.000,141000
DHO,1.1469225,-109.72767639160156,06 03 2011 08:02:23.000,142000
ICV,6.3822103,-282.19618225097656,06 03 2011 08:02:23.000,142000
DHO,1.1362635,-146.7004852294922,06 03 2011 08:02:24.000,143000
ICV,6.434935,-279.4155731201172,06 03 2011 08:02:24.000,143000
DHO,1.1657758,-130.51829528808594,06 03 2011 08:02:25.000,144000
ICV,6.3413477,-280.95672607421875,06 03 2011 08:02:25.000,144000
DHO,1.1228544,-95.53273010253906,06 03 2011 08:02:26.000,145000
ICV,6.1224213,-290.6936798095703,06 03 2011 08:02:26.000,145000
DHO,1.1430203,-124.1560173034668,06 03 2011 08:02:27.000,146000
ICV,6.1176524,-279.8271484375,06 03 2011 08:02:27.000,146000
DHO,1.1398784,-112.02076721191406,06 03 2011 08:02:28.000,147000
ICV,6.1654863,-285.04141998291016,06 03 2011 08:02:28.000,147000
DHO,1.1621519,-156.69908142089844,06 03 2011 08:02:29.000,148000
ICV,6.2041564,-279.94031524658203,06 03 2011 08:02:29.000,148000
DHO,1.1352398,-163.2730484008789,06 03 2011 08:02:30.000,149000
ICV,6.1454573,-271.21771240234375,06 03 2011 08:02:30.000,149000
DHO,1.1599706,-131.57186126708984,06 03 2011 08:02:31.000,150000
ICV,6.256604,-282.0268325805664,06 03 2011 08:02:31.000,150000
DHO,1.1443723,-146.10205078125,06 03 2011 08:02:32.000,151000
ICV,6.279868,-274.8727340698242,06 03 2011 08:02:32.000,151000
DHO,1.1303931,-102.77181148529053,06 03 2011 08:02:33.000,152000
ICV,6.027811,-282.1297607421875,06 03 2011 08:02:33.000,152000
DHO,1.1285732,-126.62065124511719,06 03 2011 08:02:34.000,153000
ICV,6.2018113,-278.3244171142578,06 03 2011 08:02:34.000,153000
DHO,1.1229733,-131.2466926574707,06 03 2011 08:02:35.000,154000
ICV,6.063634,-272.97000885009766,06 03 2011 08:02:35.000,154000
